Beginning of program:

(83,141)
(86,146)
(77,130)
(15,25)
(93,158)
(35,59)
(86,146)
(92,156)
(49,83)
(21,35)
(62,105)
(27,45)
(90,153)
(59,100)
(63,107)
(26,44)
(40,68)
(26,44)
(72,122)
(36,61)
(11,18)
(68,115)
(67,113)
(29,49)
(82,139)
(30,51)
(62,105)
(23,39)
(67,113)
(35,59)
(29,49)
(2,3)
(22,37)
(58,98)
(69,117)
(67,113)
(93,158)
(56,95)
(11,18)
(42,71)
(29,49)
(73,124)
(21,35)
(19,32)
(84,142)
(37,62)
(98,166)
(24,40)
(15,25)
(70,119)
(13,22)
(26,44)
(91,154)
(80,136)
(56,95)
(73,124)
(62,105)
(70,119)
(96,163)
(81,137)
(5,8)
(25,42)
(84,142)
(27,45)
(36,61)
(5,8)
(46,78)
(29,49)
(13,22)
(57,96)
(24,40)
(95,161)
(82,139)
(45,76)
(14,23)
(67,113)
(34,57)
(64,108)
(43,73)
(50,85)
(87,147)
(8,13)
(76,129)
(78,132)
(88,149)
(84,142)
(3,5)
(51,86)
(54,91)
(99,168)
(32,54)
(60,102)
(76,129)
(68,115)
(39,66)
(12,20)
(26,44)
(86,146)
(94,159)
(39,66)
(95,161)
(70,119)
(34,57)
(78,132)
(67,113)
(1,1)
(97,164)
(2,3)
(17,28)
(92,156)
(52,88)
(56,95)
(1,1)
(80,136)
(86,146)
(41,69)
(65,110)
(89,151)
(44,74)
(19,32)
(40,68)
(29,49)
(31,52)
(17,28)
(97,164)
(71,120)
(81,137)
(75,127)
(9,15)
(27,45)
(67,113)
(56,95)
(97,164)
(53,90)
(86,146)
(65,110)
(6,10)
(83,141)
(19,32)
(24,40)
(28,47)
(71,120)
(32,54)
(29,49)
(3,5)
(19,32)
(70,119)
(68,115)
(8,13)
(15,25)
(40,68)
(49,83)
(96,163)
(23,39)
(18,30)
(45,76)
(46,78)
(51,86)
(21,35)
(55,93)
(79,134)
(88,149)
(64,108)
(28,47)
(41,69)
(50,85)
(93,158)
(0,0)
(34,57)
(64,108)
(24,40)
(14,23)
(87,147)
(56,95)
(43,73)
(91,154)
(27,45)
(65,110)
(59,100)
(36,61)
(32,54)
(51,86)
(37,62)
(28,47)
(75,127)
(7,11)
(74,125)
(21,35)
(58,98)
(95,161)
(29,49)
(37,62)
(35,59)
(93,158)
(18,30)
(28,47)
(43,73)
(11,18)
(28,47)
(29,49)
(76,129)
(4,6)
(43,73)
(63,107)
(13,22)
(38,64)
(6,10)
(40,68)
(4,6)
(18,30)
(28,47)
(88,149)
(69,117)
(17,28)
(17,28)
(96,163)
(24,40)
(43,73)
(70,119)
(83,141)
(90,153)
(99,168)
(72,122)
(25,42)
(44,74)
(90,153)
(5,8)
(39,66)
(54,91)
(86,146)
(69,117)
(82,139)
(42,71)
(64,108)
(97,164)
(7,11)
(55,93)
(4,6)
(48,81)
(11,18)
(22,37)
(28,47)
(99,168)
(43,73)
(46,78)
(68,115)
(40,68)
(22,37)
(11,18)
(10,17)
(5,8)
(1,1)
(61,103)
(30,51)
(78,132)
(5,8)
(20,34)
(36,61)
(44,74)
(26,44)
(22,37)
(65,110)
(8,13)
(16,27)
(82,139)
(58,98)
(24,40)
(37,62)
(62,105)
(24,40)
(0,0)
(36,61)
(52,88)
(99,168)
(79,134)
(50,85)
(68,115)
(71,120)
(73,124)
(31,52)
(81,137)
(30,51)
(33,56)
(94,159)
(60,102)
(63,107)
(99,168)
(81,137)
(99,168)
(96,163)
(59,100)
(73,124)
(13,22)
(68,115)
(90,153)
(95,161)
(26,44)
(66,112)
(84,142)
(40,68)
(90,153)
(84,142)
(76,129)
(42,71)
(36,61)
(7,11)
(45,76)
(56,95)
(79,134)
(18,30)
(87,147)
(12,20)
(48,81)
(72,122)
(59,100)
(9,15)
(36,61)
(10,17)
(42,71)
(87,147)
(6,10)
(1,1)
(13,22)
(72,122)
(21,35)
(55,93)
(19,32)
(99,168)
(21,35)
(4,6)
(39,66)
(11,18)
(40,68)
(67,113)
(5,8)
(28,47)
(27,45)
(50,85)
(84,142)
(58,98)
(20,34)
(24,40)
(22,37)
(69,117)
(96,163)
(81,137)
(30,51)
(84,142)
(92,156)
(72,122)
(72,122)
(50,85)
(25,42)
(85,144)
(22,37)
(99,168)
(40,68)
(42,71)
(98,166)
(13,22)
(98,166)
(90,153)
(24,40)
(90,153)
(9,15)
(81,137)
(19,32)
(36,61)
(32,54)
(55,93)
(94,159)
(4,6)
(79,134)
(69,117)
(73,124)
(76,129)
(50,85)
(55,93)
(60,102)
(42,71)
(79,134)
(84,142)
(93,158)
(5,8)
(21,35)
(67,113)
(4,6)
(13,22)
(61,103)
(54,91)
(26,44)
(59,100)
(44,74)
(2,3)
(2,3)
(6,10)
(84,142)
(21,35)
(42,71)
(68,115)
(28,47)
(89,151)
(72,122)
(8,13)
(58,98)
(98,166)
(36,61)
(8,13)
(53,90)
(48,81)
(3,5)
(33,56)
(33,56)
(48,81)
(90,153)
(54,91)
(67,113)
(46,78)
(68,115)
(29,49)
(0,0)
(46,78)
(88,149)
(97,164)
(49,83)
(90,153)
(3,5)
(33,56)
(63,107)
(97,164)
(53,90)
(92,156)
(86,146)
(25,42)
(52,88)
(96,163)
(75,127)
(88,149)
(57,96)
(29,49)
(36,61)
(60,102)
(14,23)
(21,35)
(60,102)
(4,6)
(28,47)
(27,45)
(50,85)
(48,81)
(56,95)
(2,3)
(94,159)
(97,164)
(99,168)
(43,73)
(39,66)
(2,3)
(28,47)
(3,5)
(0,0)
(81,137)
(47,79)
(38,64)
(59,100)
(51,86)
(35,59)
(34,57)
(39,66)
(92,156)
(15,25)
(27,45)
(4,6)
(29,49)
(49,83)
(64,108)
(85,144)
(29,49)
(43,73)
(35,59)
(77,130)
(0,0)
(38,64)
(71,120)
(49,83)
(89,151)
(67,113)
(88,149)
(92,156)
(95,161)
(43,73)
(44,74)
(29,49)
(90,153)
(82,139)
(40,68)
(41,69)
(69,117)
(26,44)
(32,54)
(61,103)
(42,71)
(60,102)
(17,28)
(23,39)
(61,103)
(81,137)
(9,15)
(90,153)
(25,42)
(96,163)
(67,113)
(77,130)
(34,57)
(90,153)
(26,44)
(24,40)
(57,96)
(14,23)
(68,115)
(5,8)
(58,98)
(12,20)
(86,146)
(0,0)
(46,78)
(26,44)
(94,159)
(16,27)
(52,88)
(78,132)
(29,49)
(46,78)
(90,153)
(47,79)
(70,119)
(51,86)
(80,136)
(31,52)
(93,158)
(57,96)
(27,45)
(12,20)
(86,146)
(14,23)
(55,93)
(12,20)
(90,153)
(12,20)
(79,134)
(10,17)
(69,117)
(89,151)
(74,125)
(55,93)
(41,69)
(20,34)
(33,56)
(87,147)
(88,149)
(38,64)
(66,112)
(70,119)
(84,142)
(56,95)
(17,28)
(6,10)
(60,102)
(49,83)
(37,62)
(5,8)
(59,100)
(17,28)
(18,30)
(45,76)
(83,141)
(73,124)
(58,98)
(73,124)
(37,62)
(89,151)
(83,141)
(7,11)
(78,132)
(57,96)
(14,23)
(71,120)
(29,49)
(0,0)
(59,100)
(18,30)
(38,64)
(25,42)
(88,149)
(74,125)
(33,56)
(57,96)
(81,137)
(93,158)
(58,98)
(70,119)
(99,168)
(17,28)
(39,66)
(69,117)
(63,107)
(22,37)
(94,159)
(73,124)
(47,79)
(31,52)
(62,105)
(82,139)
(90,153)
(92,156)
(91,154)
(57,96)
(15,25)
(21,35)
(57,96)
(74,125)
(91,154)
(47,79)
(51,86)
(31,52)
(21,35)
(37,62)
(40,68)
(54,91)
(30,51)
(98,166)
(25,42)
(81,137)
(16,27)
(16,27)
(2,3)
(31,52)
(39,66)
(96,163)
(4,6)
(38,64)
(80,136)
(18,30)
(21,35)
(70,119)
(62,105)
(12,20)
(79,134)
(77,130)
(85,144)
(36,61)
(4,6)
(76,129)
(83,141)
(7,11)
(59,100)
(57,96)
(44,74)
(99,168)
(11,18)
(27,45)
(50,85)
(36,61)
(60,102)
(18,30)
(5,8)
(63,107)
(49,83)
(44,74)
(11,18)
(5,8)
(34,57)
(91,154)
(75,127)
(55,93)
(14,23)
(89,151)
(68,115)
(93,158)
(18,30)
(5,8)
(82,139)
(22,37)
(82,139)
(17,28)
(30,51)
(93,158)
(74,125)
(26,44)
(93,158)
(86,146)
(53,90)
(43,73)
(74,125)
(14,23)
(13,22)
(79,134)
(77,130)
(62,105)
(75,127)
(88,149)
(19,32)
(10,17)
(32,54)
(94,159)
(17,28)
(46,78)
(35,59)
(37,62)
(91,154)
(53,90)
(43,73)
(73,124)
(28,47)
(25,42)
(91,154)
(10,17)
(18,30)
(17,28)
(36,61)
(63,107)
(55,93)
(90,153)
(58,98)
(30,51)
(4,6)
(71,120)
(61,103)
(33,56)
(85,144)
(89,151)
(73,124)
(4,6)
(51,86)
(5,8)
(50,85)
(68,115)
(3,5)
(85,144)
(6,10)
(95,161)
(39,66)
(49,83)
(20,34)
(67,113)
